timestamp_s,Bx_mT,By_mT,Bz_mT,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm,phase
1.12500,2.110000,-1.340000,17.240000,-0.010935,0.021598,-0.110126,-0.001319,0.002530,-0.000949,zero
1.21900,2.130000,-1.320000,17.250000,-0.003379,0.025811,-0.099735,-0.001455,0.002384,-0.000836,zero
1.23500,2.100000,-1.360000,17.240000,-0.003327,0.034201,-0.099784,-0.001396,0.002384,-0.000944,zero
1.25000,2.120000,-1.330000,17.250000,-0.003727,0.034500,-0.089527,-0.001228,0.002290,-0.000942,zero
1.26600,2.120000,-1.340000,17.230000,-0.011103,0.038360,-0.089276,-0.001036,0.002627,-0.000837,zero
1.26600,2.130000,-1.310000,17.260000,-0.003547,0.042573,-0.078884,-0.001172,0.002481,-0.000724,zero
1.28200,2.140000,-1.360000,17.270000,-0.003829,0.042528,-0.089167,-0.001007,0.002576,-0.000729,zero
1.29700,2.140000,-1.360000,17.250000,-0.011082,0.047023,-0.099772,-0.000975,0.002436,-0.000950,zero
1.31300,2.130000,-1.320000,17.270000,-0.018207,0.051200,-0.099687,-0.000945,0.002485,-0.000843,zero
1.31300,2.100000,-1.350000,17.270000,-0.018207,0.051200,-0.099687,-0.000945,0.002485,-0.000843,zero
1.32900,2.060000,-1.350000,17.250000,-0.018207,0.051200,-0.099687,-0.000945,0.002485,-0.000843,zero
1.34400,2.150000,-1.370000,17.250000,-0.025332,0.055378,-0.099601,-0.000915,0.002535,-0.000736,zero
1.36000,2.140000,-1.310000,17.240000,-0.032607,0.051210,-0.099710,-0.000943,0.002586,-0.000844,zero
1.37500,2.140000,-1.330000,17.260000,-0.039398,0.063823,-0.089391,-0.001019,0.002541,-0.000840,zero
1.37500,2.140000,-1.330000,17.250000,-0.039398,0.063823,-0.089391,-0.001019,0.002541,-0.000840,zero
1.39100,2.120000,-1.340000,17.240000,-0.032406,0.067946,-0.099564,-0.000826,0.002585,-0.000738,zero
1.40700,2.100000,-1.370000,17.240000,-0.032836,0.068516,-0.099755,-0.000656,0.002299,-0.000741,zero
1.42200,2.070000,-1.310000,17.250000,-0.032887,0.060126,-0.099707,-0.000715,0.002298,-0.000633,zero
1.43800,2.090000,-1.390000,17.250000,-0.025311,0.064040,-0.110097,-0.000854,0.002343,-0.000850,zero
1.45400,2.120000,-1.350000,17.240000,-0.032805,0.068244,-0.089307,-0.000658,0.002491,-0.000736,zero
1.45400,2.160000,-1.320000,17.260000,-0.039680,0.063778,-0.099673,-0.000855,0.002636,-0.000845,zero
1.46900,2.070000,-1.330000,17.240000,-0.040079,0.064076,-0.089416,-0.000687,0.002542,-0.000844,zero
1.48500,2.140000,-1.340000,17.250000,-0.032805,0.068244,-0.089307,-0.000658,0.002491,-0.000736,zero
1.50000,2.140000,-1.320000,17.260000,-0.032406,0.067946,-0.099564,-0.000826,0.002585,-0.000738,zero
1.50000,2.110000,-1.340000,17.250000,-0.032436,0.068218,-0.110012,-0.000824,0.002393,-0.000743,zero
1.51600,2.100000,-1.340000,17.250000,-0.032436,0.068218,-0.110012,-0.000824,0.002393,-0.000743,zero
1.53200,2.110000,-1.350000,17.260000,-0.025110,0.080776,-0.109951,-0.000737,0.002342,-0.000744,zero
1.54700,2.130000,-1.310000,17.260000,-0.025444,0.072340,-0.120185,-0.000631,0.002437,-0.000642,zero
1.54700,2.120000,-1.300000,17.260000,-0.025392,0.080731,-0.120233,-0.000572,0.002438,-0.000750,zero
1.56300,2.080000,-1.340000,17.260000,-0.025110,0.080776,-0.109951,-0.000737,0.002342,-0.000744,zero
1.57900,2.170000,-1.340000,17.230000,-0.032635,0.085252,-0.099609,-0.000539,0.002298,-0.000636,zero
1.59400,2.140000,-1.350000,17.240000,-0.032583,0.093643,-0.099658,-0.000480,0.002299,-0.000744,zero
1.59400,2.130000,-1.310000,17.250000,-0.039488,0.089448,-0.120471,-0.000674,0.002251,-0.000858,zero
1.61000,2.110000,-1.350000,17.250000,-0.032214,0.093616,-0.120362,-0.000646,0.002200,-0.000751,zero
1.62500,2.110000,-1.340000,17.260000,-0.032214,0.093616,-0.120362,-0.000646,0.002200,-0.000751,zero
1.64100,2.110000,-1.360000,17.240000,-0.039836,0.098137,-0.110263,-0.000448,0.002158,-0.000965,zero
1.65700,2.120000,-1.350000,17.270000,-0.032183,0.093344,-0.109914,-0.000648,0.002392,-0.000746,zero
1.65700,2.110000,-1.330000,17.240000,-0.032583,0.093643,-0.099658,-0.000480,0.002299,-0.000744,zero
1.67200,2.100000,-1.330000,17.240000,-0.032301,0.093688,-0.089375,-0.000645,0.002203,-0.000738,zero
1.68800,2.140000,-1.310000,17.250000,-0.025176,0.089510,-0.089461,-0.000675,0.002154,-0.000845,zero
1.70400,2.140000,-1.330000,17.280000,-0.025197,0.080848,-0.078965,-0.000735,0.002345,-0.000732,zero
1.71900,2.120000,-1.330000,17.260000,-0.018072,0.076670,-0.079050,-0.000765,0.002296,-0.000838,zero
1.73500,2.080000,-1.310000,17.250000,-0.018006,0.067936,-0.099540,-0.000828,0.002484,-0.000738,zero
1.73500,2.110000,-1.320000,17.260000,-0.010911,0.064031,-0.110074,-0.000856,0.002243,-0.000849,zero
1.75000,2.100000,-1.320000,17.270000,-0.003637,0.068198,-0.109965,-0.000827,0.002192,-0.000742,zero
1.76600,2.120000,-1.350000,17.250000,-0.003724,0.068270,-0.078978,-0.000826,0.002195,-0.000729,zero
1.78200,2.150000,-1.340000,17.250000,-0.003607,0.067926,-0.099517,-0.000829,0.002384,-0.000737,zero
1.79700,2.110000,-1.340000,17.250000,-0.017672,0.076372,-0.089307,-0.000933,0.002390,-0.000840,zero
1.81300,2.080000,-1.290000,17.250000,-0.017924,0.076054,-0.089141,-0.000771,0.002677,-0.000841,zero
1.81300,2.090000,-1.350000,17.250000,-0.017954,0.076327,-0.099589,-0.000769,0.002485,-0.000846,zero
1.82900,2.080000,-1.340000,17.250000,-0.017954,0.076327,-0.099589,-0.000769,0.002485,-0.000846,zero
1.84400,2.120000,-1.330000,17.270000,-0.017954,0.076327,-0.099589,-0.000769,0.002485,-0.000846,zero
1.86000,2.120000,-1.310000,17.270000,-0.010710,0.080766,-0.109928,-0.000738,0.002242,-0.000744,zero
1.86000,2.110000,-1.350000,17.250000,-0.018297,0.076825,-0.130767,-0.000600,0.002196,-0.000861,zero
1.87500,2.130000,-1.330000,17.250000,-0.011023,0.080993,-0.130658,-0.000572,0.002145,-0.000754,zero
1.89100,2.100000,-1.320000,17.260000,-0.017985,0.076599,-0.110037,-0.000767,0.002293,-0.000851,zero
1.89100,2.100000,-1.310000,17.250000,-0.017836,0.084944,-0.109842,-0.000708,0.002291,-0.000637,zero
1.90700,2.110000,-1.340000,17.250000,-0.017784,0.093334,-0.109891,-0.000650,0.002292,-0.000746,zero
1.92200,2.140000,-1.350000,17.270000,-0.010458,0.105893,-0.109830,-0.000562,0.002242,-0.000747,zero
1.93800,2.120000,-1.330000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
1.95400,2.100000,-1.350000,17.260000,-0.003302,0.101443,-0.099468,-0.000594,0.002384,-0.000849,zero
1.96900,2.110000,-1.320000,17.270000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
1.98500,2.090000,-1.360000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.00000,2.070000,-1.300000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.00000,2.090000,-1.320000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.01600,2.120000,-1.340000,17.260000,-0.003384,0.093325,-0.109867,-0.000651,0.002192,-0.000745,zero
2.01600,2.100000,-1.330000,17.260000,-0.003354,0.093053,-0.099419,-0.000653,0.002384,-0.000740,zero
2.03200,2.120000,-1.340000,17.260000,-0.003384,0.093325,-0.109867,-0.000651,0.002192,-0.000745,zero
2.04700,2.120000,-1.360000,17.260000,-0.003354,0.093053,-0.099419,-0.000653,0.002384,-0.000740,zero
2.06300,2.060000,-1.320000,17.240000,-0.003384,0.093325,-0.109867,-0.000651,0.002192,-0.000745,zero
2.06300,2.080000,-1.360000,17.270000,-0.003354,0.093053,-0.099419,-0.000653,0.002384,-0.000740,zero
2.07900,2.080000,-1.320000,17.260000,-0.010509,0.097502,-0.109781,-0.000621,0.002241,-0.000638,zero
2.09400,2.100000,-1.330000,17.270000,-0.003354,0.093053,-0.099419,-0.000653,0.002384,-0.000740,zero
2.11000,2.120000,-1.320000,17.260000,0.003573,0.105910,-0.089102,-0.000398,0.002239,-0.000740,zero
2.12500,2.110000,-1.290000,17.270000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.14100,2.150000,-1.340000,17.260000,-0.003020,0.101488,-0.089186,-0.000759,0.002289,-0.000843,zero
2.14100,2.090000,-1.350000,17.240000,-0.010427,0.105621,-0.099382,-0.000564,0.002434,-0.000742,zero
2.15700,2.150000,-1.310000,17.270000,-0.010427,0.105621,-0.099382,-0.000564,0.002434,-0.000742,zero
2.17200,2.110000,-1.300000,17.260000,-0.010427,0.105621,-0.099382,-0.000564,0.002434,-0.000742,zero
2.18800,2.080000,-1.330000,17.270000,0.003942,0.105883,-0.109807,-0.000564,0.002141,-0.000746,zero
2.20400,2.110000,-1.320000,17.260000,0.003942,0.105883,-0.109807,-0.000564,0.002141,-0.000746,zero
2.21900,2.100000,-1.340000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.23500,2.100000,-1.330000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.25000,2.120000,-1.320000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.25000,2.150000,-1.320000,17.240000,-0.010458,0.105893,-0.109830,-0.000562,0.002242,-0.000747,zero
2.26600,2.130000,-1.320000,17.250000,-0.010805,0.114582,-0.099622,-0.000336,0.002148,-0.000853,zero
2.28200,2.090000,-1.320000,17.250000,-0.010857,0.106191,-0.099574,-0.000394,0.002148,-0.000745,zero
2.29700,2.090000,-1.290000,17.250000,-0.010805,0.114582,-0.099622,-0.000336,0.002148,-0.000853,zero
2.29700,2.100000,-1.320000,17.240000,0.003942,0.105883,-0.109807,-0.000564,0.002141,-0.000746,zero
2.31300,2.130000,-1.360000,17.260000,-0.003333,0.101715,-0.109916,-0.000592,0.002192,-0.000853,zero
2.32900,2.100000,-1.290000,17.260000,-0.003420,0.101787,-0.078929,-0.000591,0.002195,-0.000841,zero
2.34400,2.140000,-1.350000,17.250000,-0.003020,0.101488,-0.089186,-0.000759,0.002289,-0.000843,zero
2.34400,2.070000,-1.300000,17.260000,-0.003450,0.102059,-0.089377,-0.000589,0.002003,-0.000846,zero
2.36000,2.130000,-1.310000,17.250000,-0.003701,0.101742,-0.089211,-0.000426,0.002290,-0.000847,zero
2.37500,2.120000,-1.280000,17.270000,-0.010377,0.089202,-0.099694,-0.000844,0.002147,-0.000846,zero
2.39100,2.130000,-1.310000,17.250000,-0.003784,0.093623,-0.099611,-0.000483,0.002098,-0.000743,zero
2.40700,2.140000,-1.330000,17.240000,-0.003384,0.093325,-0.109867,-0.000651,0.002192,-0.000745,zero
2.42200,2.080000,-1.350000,17.250000,0.003741,0.089147,-0.109953,-0.000681,0.002142,-0.000852,zero
2.42200,2.110000,-1.320000,17.250000,-0.003534,0.084979,-0.110062,-0.000709,0.002193,-0.000959,zero
2.43800,2.090000,-1.350000,17.270000,-0.010659,0.089157,-0.109976,-0.000680,0.002242,-0.000852,zero
2.45400,2.110000,-1.330000,17.260000,-0.010746,0.089229,-0.078990,-0.000678,0.002245,-0.000840,zero
2.46900,2.120000,-1.340000,17.260000,-0.010628,0.088885,-0.099528,-0.000682,0.002435,-0.000847,zero
2.48500,2.080000,-1.310000,17.250000,-0.010628,0.088885,-0.099528,-0.000682,0.002435,-0.000847,zero
2.50000,2.140000,-1.330000,17.250000,-0.003354,0.093053,-0.099419,-0.000653,0.002384,-0.000740,zero
2.50000,2.120000,-1.320000,17.260000,0.003741,0.089147,-0.109953,-0.000681,0.002142,-0.000852,zero
2.51600,2.140000,-1.340000,17.260000,0.003741,0.089147,-0.109953,-0.000681,0.002142,-0.000852,zero
2.53200,2.150000,-1.340000,17.270000,0.003741,0.089147,-0.109953,-0.000681,0.002142,-0.000852,zero
2.54700,2.130000,-1.340000,17.260000,-0.010659,0.089157,-0.109976,-0.000680,0.002242,-0.000852,zero
2.54700,2.120000,-1.330000,17.260000,-0.003784,0.093623,-0.099611,-0.000483,0.002098,-0.000743,zero
2.56300,2.110000,-1.330000,17.240000,-0.010776,0.089501,-0.089438,-0.000676,0.002053,-0.000844,zero
2.57900,2.110000,-1.360000,17.260000,0.004023,0.089193,-0.099671,-0.000845,0.002047,-0.000846,zero
2.57900,2.140000,-1.300000,17.260000,0.003341,0.089446,-0.099696,-0.000513,0.002048,-0.000850,zero
